;Unnamed: 0;Annee;MoyenneRegion;Region;Population;Parc nucléaire (MW);Parc thermique fossile (MW);Parc hydraulique (MW);Parc éolien (MW);Parc solaire (MW);Parc bioénergies (MW);Essence;Hybride;diesel;GPL;electrique;autre;Essence_pop;Hybride_pop;diesel_pop;GPL_pop;electrique_pop;autre_pop
32;32;2014;48.83427316117743;Hauts-de-France;6006156;5460.0;2408.0;4.0;2024.0;120.0;165.0;70713;4581;166780;332;693;9;1.1773420470597167;0.07627174518943564;2.776817651755965;0.0055276619521704064;0.01153816184594606;0.00014984625773955922
33;33;2015;49.38152869615569;Hauts-de-France;6009976;5460.0;1892.0;4.0;2330.0;124.0;169.0;91330;7151;166234;223;1164;14;1.5196400118735915;0.1189855001084863;2.765967784230752;0.0037104973464120324;0.019367797808177604;0.00023294602174784058
34;34;2016;47.95181824727776;Hauts-de-France;6006870;5460.0;2476.0;4.0;2771.0;129.0;168.0;113637;6767;161181;73;1477;16;1.8917839074259972;0.11265434410932815;2.6832776470940773;0.0012152751765894716;0.024588512819488352;0.0002663616825401582
35;35;2017;10.765707671957674;Hauts-de-France;6003815;5460.0;2485.0;4.0;3378.0;135.0;179.0;136141;8234;153245;193;1567;11;2.2675748669804117;0.1371461312515459;2.552460393932858;0.0032146227023983915;0.026100071371286424;0.00018321683796053008
36;36;2018;35.72775761648746;Hauts-de-France;6004108;5460.0;2477.0;4.0;3991.0;153.0;183.0;172462;11115;122636;348;2042;26;2.872400030112716;0.185123252279939;2.0425348777870083;0.005796031650330074;0.034010047787281644;0.00043303684743845386
37;37;2019;44.985341845632924;Hauts-de-France;6004947;5460.0;2426.0;4.0;4558.0;164.0;186.0;193562;14368;107160;329;2936;27;3.2233756601015795;0.2392693890553905;1.7845286561230265;0.00547881604950052;0.048893021037487924;0.0004496292806580974
40;40;2014;45.03504853276128;Grand Est;5554645;12580.0;3544.0;2290.0;2353.0;424.0;154.0;48338;3062;87564;167;709;20;0.8702266301446807;0.05512503499323539;1.576410373660243;0.0030064927641640466;0.012764092034684484;0.0003600590136723409
41;41;2015;47.29515825344561;Grand Est;5559051;12580.0;3048.0;2292.0;2580.0;435.0;191.0;58620;4053;83175;114;1163;19;1.0544965318720767;0.07290812766423621;1.4962086154633227;0.002050709734449279;0.020920837027758873;0.00034178495574154654
42;42;2016;44.08832188767303;Grand Est;5555186;12580.0;3050.0;2303.0;2877.0;445.0;197.0;69822;3957;80490;24;1518;12;1.2568796076314996;0.07123073826870964;1.448916381917725;0.00043202873855168844;0.027325817713394294;0.00021601436927584422
43;43;2017;41.37792475470568;Grand Est;5549586;12580.0;3073.0;2305.0;3100.0;469.0;199.0;80102;5835;76837;58;1860;19;1.4433869481435193;0.10514297823297088;1.3845537306746847;0.0010451230055719472;0.033516013626962445;0.00034236788113563787
44;44;2018;44.97092352478198;Grand Est;5550389;12580.0;3164.0;2311.0;3383.0;489.0;224.0;93689;7635;65935;158;2324;18;1.6879717799959608;0.1375579261201332;1.1879347555639794;0.0028466473250793774;0.041870939135977676;0.0003243015939963848
45;45;2019;44.72020534524938;Grand Est;5556219;12580.0;3168.0;2307.0;3608.0;543.0;221.0;97882;8906;61501;163;3169;16;1.7616656218914335;0.1602888583045413;1.1068858156958896;0.002933649663557178;0.0570351888577466;0.00028796561114671684
48;48;2014;43.219227382276614;Pays de la Loire;3690833;0.0;3283.0;10.0;578.0;350.0;63.0;27029;1870;45773;153;441;25;0.7323279053807095;0.05066606915024331;1.2401807396866777;0.004145405657747181;0.011948522189977169;0.0006773538656449641
49;49;2015;46.92643056146971;Pays de la Loire;3718512;0.0;3290.0;8.0;632.0;379.0;62.0;32093;2559;42513;99;970;17;0.8630602778745907;0.06881784972053338;1.1432798926022023;0.0026623552646865196;0.02608570309844368;0.00045717211615829126
50;50;2016;46.10525820625701;Pays de la Loire;3737632;0.0;3315.0;9.0;733.0;413.0;67.0;37588;2600;41206;10;1393;41;1.005663478908571;0.06956276059280314;1.1024627357642485;0.00026754907920308903;0.0372695867329903;0.0010969512247326649
51;51;2017;39.37380372948644;Pays de la Loire;3757600;0.0;2696.0;9.0;822.0;463.0;71.0;42977;3785;40968;70;1364;32;1.143735362997658;0.10072918884394294;1.0902703853523525;0.0018628912071535022;0.03629976580796253;0.0008516074089844582
52;52;2018;36.533451740911424;Pays de la Loire;3781423;0.0;2071.0;9.0;911.0;496.0;71.0;52381;5563;35323;165;1501;8;1.3852192679845656;0.14711393039075502;0.9341192455855903;0.004363436727390721;0.03969405168371801;0.0002115605686007622
53;53;2019;36.607558442361004;Pays de la Loire;3806461;0.0;2080.0;11.0;1012.0;557.0;77.0;55061;6360;34280;153;2099;25;1.4465142293589768;0.1670843337157533;0.9005740502792489;0.00401948161297331;0.055143084350529274;0.0006567780413355083
56;56;2014;44.95304675437925;Bretagne;3276543;0.0;743.0;274.0;826.0;167.0;51.0;26784;1475;44534;112;348;7;0.81744692500602;0.0450169584223372;1.359176424664654;0.003418236842916452;0.010620950190490405;0.00021363980268227826
57;57;2015;34.010400524982245;Bretagne;3293850;0.0;794.0;277.0;854.0;178.0;53.0;33180;1997;41010;77;582;10;1.0073318457124643;0.060628140322115456;1.2450475886880095;0.002337689937307406;0.01766929277289494;0.0003035960957542086
58;58;2016;37.9223779928067;Bretagne;3306529;0.0;859.0;277.0;913.0;190.0;55.0;38334;2246;38055;12;1018;9;1.1593426218248806;0.06792621507326868;1.1509047705312732;0.00036291833520891547;0.03078757210355633;0.0002721887514066866
59;59;2017;35.88610414196482;Bretagne;3318904;0.0;904.0;277.0;974.0;205.0;65.0;44097;3329;36359;40;1130;7;1.3286615099442467;0.10030419680713874;1.0955122534427029;0.0012052171439728297;0.034047384317232435;0.00021091300019524518
60;60;2018;37.16771504557065;Bretagne;3335414;0.0;964.0;272.0;1014.0;219.0;67.0;54210;4655;30540;119;1271;4;1.6252854967929018;0.13956288484727833;0.9156284647123265;0.0035677729960958368;0.038106214101158054;0.00011992514272591048
61;61;2019;26.716848011606075;Bretagne;3354854;0.0;975.0;275.0;1047.0;236.0;74.0;53845;4955;29104;100;1693;16;1.6049878772667903;0.14769644222967676;0.8675191230378431;0.0029807556454021548;0.05046419307665848;0.00047692090326434476
64;64;2014;43.599970319585886;Nouvelle-Aquitaine;5879144;6630.0;465.0;1765.0;483.0;1142.0;221.0;48075;3438;93144;228;757;7;0.8177210832053101;0.05847790086447959;1.58431227403173;0.0038781155896164474;0.012876024128682679;0.00011906495231278567
65;65;2015;47.655151388079645;Nouvelle-Aquitaine;5911482;6630.0;470.0;1761.0;556.0;1594.0;282.0;61454;4239;88976;168;1564;20;1.0395701111836253;0.07170790674825703;1.5051386437444958;0.002841926948267795;0.026456986589826377;0.000338324636698547
66;66;2016;40.96044501559565;Nouvelle-Aquitaine;5935603;6630.0;495.0;1762.0;689.0;1734.0;294.0;72828;4633;84531;20;2035;32;1.2269688521958089;0.07805441165792254;1.424135003638215;0.00033694975893771873;0.03428463797191288;0.00053911961430035
67;67;2017;13.979486978075688;Nouvelle-Aquitaine;5956978;6630.0;534.0;1762.0;856.0;2047.0;299.0;85371;7127;82780;84;2089;5;1.4331259910645968;0.11964120062219467;1.389630782588084;0.0014101109656607764;0.035068116753159066;8.393517652742716e-05
68;68;2018;39.091619400601104;Nouvelle-Aquitaine;5979778;6630.0;580.0;1763.0;955.0;2263.0;308.0;105458;9902;70864;221;2680;5;1.7635771762764436;0.16559143165515508;1.1850607163008393;0.00369578937545842;0.04481771731325143;8.361514424114072e-05
69;69;2019;36.61373362377951;Nouvelle-Aquitaine;6010289;6630.0;576.0;1765.0;1049.0;2583.0;325.0;108185;11251;64227;209;3317;21;1.7999966390967224;0.18719565731364998;1.068617499091974;0.003477370222962656;0.05518869392137383;0.0003494008358000755
72;72;2014;47.41887065083394;Occitanie;5730753;2620.0;1613.0;5407.0;934.0;1116.0;133.0;44930;3006;85923;203;750;20;0.7840156433194732;0.05245383983570745;1.499331763208081;0.0035422919117260856;0.013087285388150563;0.00034899427701734834
73;73;2015;47.59917643346917;Occitanie;5774185;2620.0;1612.0;5394.0;1038.0;1279.0;137.0;57078;3979;81539;118;1341;11;0.9885031394040891;0.06891015788375329;1.4121300235444483;0.002043578444403842;0.02322405672835214;0.0001905030753257819
74;74;2016;46.50591397849462;Occitanie;5808435;2620.0;250.0;5394.0;1165.0;1478.0;139.0;67031;3951;78225;26;1846;20;1.1540285808483697;0.06802176489880665;1.3467483065576185;0.00044762487658035256;0.03178136623720503;0.0003443268281387327
75;75;2017;45.998811848994414;Occitanie;5845102;2620.0;266.0;5387.0;1399.0;1615.0;145.0;78142;6331;74405;59;2275;24;1.3368800065422297;0.108312908825201;1.2729461350717233;0.0010093921372116346;0.03892147647722829;0.00041060019140812254
76;76;2018;45.63030009092996;Occitanie;5885496;2620.0;282.0;5388.0;1526.0;1814.0;146.0;93092;8616;62047;171;2818;6;1.5817188559808724;0.14639377887607094;1.0542357007803589;0.002905447561259068;0.04788041653583657;0.00010194552846523047
77;77;2019;33.96700803599441;Occitanie;5933185;2620.0;282.0;5392.0;1630.0;2013.0;146.0;99050;9442;56572;139;3903;13;1.669423758065862;0.15913880993092241;0.953484511270085;0.0023427551980934355;0.0657825434399905;0.00021910660126053715
80;80;2014;43.805656507916886;Auvergne-Rhone-Alpes;7820966;13570.0;1091.0;11564.0;376.0;583.0;145.0;71553;4570;121267;261;1173;10;0.9148869845489676;0.058432679543677854;1.5505373632873485;0.00333718366759298;0.014998147287687991;0.0001278614432027962
81;81;2015;40.40192634789608;Auvergne-Rhone-Alpes;7877698;13570.0;1100.0;11570.0;402.0;647.0;165.0;87826;6007;113793;197;2003;28;1.1148688360482975;0.07625324047710384;1.444495587416527;0.002500730543364318;0.025426209534815884;0.00035543378281320255
82;82;2016;41.513889551000226;Auvergne-Rhone-Alpes;7916889;13570.0;1062.0;11592.0;443.0;703.0;172.0;101812;5911;109989;50;2898;25;1.2860101992083002;0.07466316630181376;1.3892957195686335;0.0006315612104704259;0.03660528775886589;0.00031578060523521296
83;83;2017;42.18272010067755;Auvergne-Rhone-Alpes;7948287;13570.0;1061.0;11608.0;500.0;776.0;172.0;115984;9007;108299;173;3443;60;1.459232662333406;0.11332001474028304;1.3625451622469094;0.0021765696180824873;0.043317509798023145;0.0007548796363291864
